month,type,LUE_MODIS,LUE_LAI,LUE_CI,LUE_CI_SE,LUE_PAR,LUE_PAR_SE,LUE_MC_W,LUE_MC_W_SE
1,MF,1.051,11.0185564,0.325147616,0.051158011,2.140710476,0.149629768,1.644439412,0.00259649
2,MF,1.051,8.403420506,0.249226696,0.049040046,2.161570384,0.076958512,1.853537327,0.001042534
3,MF,1.051,4.803381894,0.187011459,0.026821546,1.787547737,0.043054779,1.333704917,0.000609914
4,MF,1.051,1.506522706,0.300060367,0.034018509,1.435731376,0.02102623,0.914743227,0.000307097
5,MF,1.051,1.17175792,0.462509385,0.043159062,1.320899334,0.020142068,0.846246813,0.000172681
6,MF,1.051,1.185407081,0.636235081,0.060795957,1.224814383,0.030056514,0.954977837,0.000213481
7,MF,1.051,1.123521615,0.69454456,0.099150892,1.313183019,0.027931374,1.039274625,0.000206319
8,MF,1.051,1.055802375,0.697131213,0.065497307,1.412692056,0.022528816,0.937633048,0.000188418
9,MF,1.051,1.284393813,0.47978511,0.042988497,1.662511783,0.02509722,0.907243675,0.000205551
10,MF,1.051,1.353270325,0.476380279,0.045789429,2.031735973,0.038638322,1.017456862,0.000393548
11,MF,1.051,2.489806168,0.419419002,0.074060073,2.304406405,0.069348874,1.164618721,0.000961141
12,MF,1.051,8.137161036,0.175705491,0.050093166,1.822524525,0.220831975,1.238964935,0.002652174
1,ENF,0.962,0.881295264,0.961919754,0.107455502,2.175054557,0.067857063,0.880799264,0.000229009
2,ENF,0.962,1.007123805,0.871018576,0.071226272,2.009770244,0.048484244,0.983121734,0.000219413
3,ENF,0.962,1.50903272,0.882845345,0.039920457,1.667416385,0.025922082,0.964497265,0.000203991
4,ENF,0.962,2.348701743,0.872593948,0.030623966,1.40308697,0.011625085,1.011902146,0.000132722
5,ENF,0.962,1.546357172,0.999895951,0.02520251,1.204500495,0.010023515,0.859879253,7.88E-05
6,ENF,0.962,1.253111487,1.049091215,0.026288022,1.103304833,0.010302838,0.820683683,8.10E-05
7,ENF,0.962,1.16594405,1.108793225,0.027241018,1.138371885,0.010631397,0.810879601,8.01E-05
8,ENF,0.962,1.164992027,1.03380516,0.029339402,1.318211584,0.01269108,0.812971254,7.56E-05
9,ENF,0.962,1.289964869,1.019941011,0.028028546,1.641264226,0.01677035,0.842383676,8.13E-05
10,ENF,0.962,1.909553074,1.031663255,0.035326497,1.962608247,0.019496535,0.983129838,0.000128375
11,ENF,0.962,1.619104955,0.954090234,0.05342825,2.253256811,0.024055965,1.129905142,0.000237122
12,ENF,0.962,0.780681251,0.961126677,0.102197255,2.244045519,0.053954735,0.852656975,0.000302064
1,GRA,0.86,1.224550414,1.139534315,0.063855638,1.762153951,0.055074443,0.882075408,0.000270944
2,GRA,0.86,1.267663724,1.217907697,0.066520233,1.661572415,0.04281749,0.757771155,0.000219561
3,GRA,0.86,1.829854856,1.302976686,0.055712589,1.443791309,0.026055182,0.890679773,0.000216349
4,GRA,0.86,1.661768729,1.527643389,0.054698883,1.242724667,0.019922866,0.856954092,0.000186345
5,GRA,0.86,1.696807123,1.592884348,0.057158942,1.156068876,0.020516217,0.977965769,0.000194393
6,GRA,0.86,1.458792469,1.610975861,0.059497563,1.121297143,0.021134549,0.95478975,0.000150942
7,GRA,0.86,1.319357269,1.718614563,0.05484401,1.166168673,0.018575166,0.924344006,0.000127468
8,GRA,0.86,1.4940645,1.64272308,0.04920138,1.273618333,0.019986016,0.880409384,0.000113217
9,GRA,0.86,1.655101253,1.705165123,0.10591897,1.437722959,0.023700189,0.894559509,0.000130449
10,GRA,0.86,2.200614,1.499689275,0.059211628,1.708383225,0.031790083,0.871756538,0.000216037
11,GRA,0.86,2.583063503,1.400842056,0.07905761,1.922759547,0.04470869,0.554528733,0.000248055
12,GRA,0.86,1.877958697,1.249649983,0.080154796,1.764565929,0.055394523,0.87871167,0.000292874
1,WSA,1.239,3.544743656,NA,NA,1.59795576,0.073693353,1.135139465,0.00039072
2,WSA,1.239,2.339267032,NA,NA,1.416889771,0.050073307,1.002139431,0.000300528
3,WSA,1.239,2.093930912,NA,NA,1.215916864,0.029468824,0.86726262,0.000197618
4,WSA,1.239,1.919310406,NA,NA,1.091749725,0.024300202,0.802065641,0.00016593
5,WSA,1.239,2.433769664,NA,NA,1.073857142,0.039514635,0.818244168,0.000157793
6,WSA,1.239,2.900027149,NA,NA,1.083320784,0.047979665,0.786029466,0.000183463
7,WSA,1.239,3.054023879,NA,NA,1.109290264,0.040462641,0.74849429,0.000232083
8,WSA,1.239,3.842469383,NA,NA,1.081428754,0.026866669,0.839799323,0.000275147
9,WSA,1.239,3.008333338,NA,NA,1.106195536,0.013253029,0.725625214,0.000298424
10,WSA,1.239,2.727612912,NA,NA,1.238146974,0.034800288,0.674952689,0.000323007
11,WSA,1.239,2.939423335,NA,NA,1.508453251,0.065510684,0.897652617,0.000386863
12,WSA,1.239,2.98270659,NA,NA,1.659275542,0.084619938,1.10894646,0.000454548
1,SAV,1.206,3.206667288,NA,NA,1.178887917,0.073505652,1.131547673,0.000439535
2,SAV,1.206,2.740903449,NA,NA,1.164532108,0.054151258,0.971532787,0.000384234
3,SAV,1.206,1.803708232,NA,NA,1.207163285,0.045348316,0.778921546,0.000297135
4,SAV,1.206,2.651624799,NA,NA,1.301639889,0.048070639,0.797270864,0.000338308
5,SAV,1.206,3.204119485,NA,NA,1.432846904,0.040645946,0.798416036,0.000388751
6,SAV,1.206,3.658516295,NA,NA,1.501021562,0.046865467,0.703855554,0.000410734
7,SAV,1.206,3.881945913,NA,NA,1.459713802,0.044494659,0.706873761,0.00046141
8,SAV,1.206,5.03008723,NA,NA,1.330195862,0.038722332,0.705381925,0.000576217
9,SAV,1.206,8.301193072,NA,NA,1.177182113,0.025558291,1.032387478,0.000876112
10,SAV,1.206,5.9223113,NA,NA,1.103063874,0.033711824,0.836595765,0.000848909
11,SAV,1.206,2.224512645,NA,NA,1.114594186,0.059922012,0.838875571,0.000553586
12,SAV,1.206,2.383330173,NA,NA,1.116437998,0.054194213,0.98003213,0.000454314
1,EBF,1.268,0.713783608,1.767262934,0.078569759,1.77217411,0.101214978,0.679982766,0.000219267
2,EBF,1.268,0.782528961,1.7132889,0.067426689,1.634667998,0.060171818,0.718192423,0.000209783
3,EBF,1.268,1.023905886,1.869778435,0.113099307,1.501397584,0.024875879,0.756332949,0.000172917
4,EBF,1.268,1.078503763,1.88663368,0.06362858,1.448511684,0.03456768,0.713129061,0.000128585
5,EBF,1.268,0.9652676,1.803839077,0.046880509,1.425310175,0.06750325,0.677508238,0.000146073
6,EBF,1.268,0.872080227,1.933122357,0.108331391,1.410227756,0.084801119,0.691597787,0.000170624
7,EBF,1.268,0.842928472,1.764915578,0.049559845,1.334172038,0.081332905,0.635265285,0.000132816
8,EBF,1.268,0.808951611,1.711312633,0.045036079,1.344501918,0.054802602,0.638680702,0.000129723
9,EBF,1.268,0.810683738,1.723504863,0.063460775,1.422257707,0.026074048,0.64964061,0.000103247
10,EBF,1.268,1.064678969,1.718348783,0.075691814,1.592085339,0.053109983,0.781795132,0.00014053
11,EBF,1.268,0.886692462,1.750566388,0.079205638,1.675655588,0.083730353,0.79048141,0.000173472
12,EBF,1.268,0.774654821,1.741086303,0.064504257,1.812956221,0.094273202,0.699421882,0.000156847
1,WET,1.051,2.143093179,NA,NA,2.04319985,0.100482391,0.810405361,0.000894976
2,WET,1.051,1.390816471,NA,NA,1.888281481,0.092017026,0.610029105,0.000713472
3,WET,1.051,1.8004982,NA,NA,1.600108609,0.047535739,0.517940708,0.000697182
4,WET,1.051,1.015437065,NA,NA,1.275224082,0.036037279,0.51439505,0.000439417
5,WET,1.051,1.403857707,NA,NA,1.152710836,0.031352678,0.802533721,0.000281815
6,WET,1.051,1.119029202,NA,NA,1.085565503,0.022606548,0.810668426,0.000256355
7,WET,1.051,1.168745038,NA,NA,1.157799551,0.030161303,0.790034853,0.000247499
8,WET,1.051,1.15751087,NA,NA,1.381538016,0.043825833,0.771650565,0.000246215
9,WET,1.051,1.358596534,NA,NA,1.622710111,0.055937758,0.761769191,0.000232861
10,WET,1.051,2.281741135,NA,NA,1.839127541,0.057663686,0.836042976,0.00028647
11,WET,1.051,4.153719255,NA,NA,2.22758761,0.063603178,0.888143754,0.000493359
12,WET,1.051,6.086139975,NA,NA,2.095567896,0.057834396,0.858143423,0.001864944
1,DBF,1.165,1.430496507,0.247297621,0.045178176,2.175671877,0.071366812,0.664152424,0.000539918
2,DBF,1.165,2.117952837,0.244584377,0.034778301,2.068083591,0.050476683,0.760863751,0.000261509
3,DBF,1.165,2.06763063,0.241966431,0.025540529,1.719231794,0.027005783,0.594466985,0.000290047
4,DBF,1.165,0.871830354,0.343384012,0.026180706,1.384521877,0.013448968,0.522063406,0.000140361
5,DBF,1.165,1.124320485,0.532181378,0.028517797,1.177227397,0.016400486,0.855390711,0.000148691
6,DBF,1.165,1.205659314,0.750183875,0.059504919,1.093458376,0.027726571,1.11011782,0.000189985
7,DBF,1.165,1.509928271,0.798364985,0.058327557,1.153313273,0.02833993,1.306474424,0.000208228
8,DBF,1.165,1.34761406,0.642069567,0.053580834,1.315955174,0.027053973,1.169713489,0.000147689
9,DBF,1.165,1.13918428,0.547992757,0.035382398,1.579912684,0.021022189,0.934790803,0.000125567
10,DBF,1.165,2.171657116,0.432951143,0.028077048,1.966940608,0.025977661,0.881256201,0.000163448
11,DBF,1.165,3.404435408,0.406174805,0.047757036,2.260130627,0.033186207,0.956029121,0.000373983
12,DBF,1.165,1.755001493,0.280876922,0.046977498,2.21345145,0.060933227,0.880682034,0.000517345
1,OSH,0.841,6.957757331,NA,NA,1.670419886,0.05513303,0.418611639,0.00022323
2,OSH,0.841,4.968106888,NA,NA,1.465974159,0.040041395,0.354996045,0.000270637
3,OSH,0.841,3.270023952,NA,NA,1.184149697,0.030643486,0.279690254,0.000278575
4,OSH,0.841,3.349052227,NA,NA,1.092679916,0.02846913,0.294111532,0.000311307
5,OSH,0.841,4.113977242,NA,NA,1.005186915,0.025956135,0.454072607,0.000260622
6,OSH,0.841,1.387686312,NA,NA,1.000273948,0.025439105,0.546468176,0.000213201
7,OSH,0.841,1.047128134,NA,NA,1.071236894,0.024879073,0.548992077,0.000167496
8,OSH,0.841,1.213789482,NA,NA,1.23924897,0.037605731,0.562477792,0.000201186
9,OSH,0.841,1.983409734,NA,NA,1.42899729,0.047681898,0.414405641,0.000179266
10,OSH,0.841,4.713526725,NA,NA,1.556110473,0.057390843,0.305712804,0.000212072
11,OSH,0.841,8.590017684,NA,NA,1.734468705,0.054428495,0.300114754,0.000244189
12,OSH,0.841,5.753897581,NA,NA,1.807806512,0.052045534,0.373972533,0.000312872
1,CRO,1.044,4.763465182,1.16394276,0.100626985,2.229887405,0.040513021,1.4389973,0.000639662
2,CRO,1.044,4.98694212,0.856809665,0.072984846,2.042182477,0.034836867,1.237954751,0.000491265
3,CRO,1.044,3.857267221,1.001761117,0.069037968,1.683917971,0.025690835,1.040652262,0.00037359
4,CRO,1.044,3.023909927,1.175111087,0.075665369,1.343507444,0.022680873,1.130278175,0.000362534
5,CRO,1.044,2.631470438,1.163237746,0.089821716,1.172680974,0.0205336,1.082186433,0.000355188
6,CRO,1.044,1.829067457,1.276964635,0.058632405,1.065331201,0.0173087,1.018863253,0.000226716
7,CRO,1.044,2.422014784,1.237900945,0.069500276,1.112279753,0.018732642,1.020401133,0.000304122
8,CRO,1.044,2.890094639,1.184887044,0.066958855,1.267823221,0.024176947,0.936038563,0.000335284
9,CRO,1.044,2.605364159,0.928544973,0.053995044,1.547677369,0.02604128,0.690427904,0.000248983
10,CRO,1.044,3.169534098,1.02124151,0.070873851,1.953124601,0.033326559,0.706251787,0.000273358
11,CRO,1.044,3.925477918,0.972854631,0.088821811,2.234754206,0.037093828,0.960539764,0.000338881
12,CRO,1.044,3.858573973,0.96076591,0.105187055,2.189569159,0.029117246,1.043519882,0.000513362
1,CSH,1.281,0.598609231,NA,NA,2.038187103,0.086256619,0.573857018,0.00043787
2,CSH,1.281,0.601079975,NA,NA,1.848126329,0.053493465,0.595618926,0.000407829
3,CSH,1.281,0.430201985,NA,NA,1.429479102,0.050682139,0.486965754,0.000413302
4,CSH,1.281,0.546984151,NA,NA,1.196095361,0.040705314,0.578186818,0.00021644
5,CSH,1.281,0.628759216,NA,NA,1.019372125,0.031754521,0.601353812,0.000192197
6,CSH,1.281,1.630297379,NA,NA,0.935180014,0.057916956,0.574635733,0.00022426
7,CSH,1.281,1.416182997,NA,NA,0.963118686,0.105798345,0.471028908,0.000666284
8,CSH,1.281,0.679705707,NA,NA,1.202138081,0.096532511,0.483311192,0.000451836
9,CSH,1.281,0.866220554,NA,NA,1.359088314,0.010057509,0.507782675,0.000261242
10,CSH,1.281,0.638424915,NA,NA,1.702104788,0.090344976,0.629210608,0.000192425
11,CSH,1.281,0.659736486,NA,NA,1.951498068,0.068228186,0.655452188,0.000183289
12,CSH,1.281,0.675665229,NA,NA,2.14374232,0.0905152,0.649077684,0.000388158
1,DNF,1.086,NA,NA,NA,NA,NA,0.008781177,0.004466436
2,DNF,1.086,NA,NA,NA,NA,NA,0.0124139,0.004488673
3,DNF,1.086,NA,NA,NA,NA,NA,0.047032377,0.004430029
4,DNF,1.086,3.156424257,NA,NA,1.471995714,NA,NA,NA
5,DNF,1.086,1.568457058,0.512578916,0.233278388,1.248508029,0.009347311,0.340941159,0.000203275
6,DNF,1.086,1.951385222,0.889758646,0.014957095,1.087908101,0.039369222,0.698412655,0.000480398
7,DNF,1.086,1.313546911,0.851687513,0.043904614,1.215212338,0.054315923,0.619397884,0.000278331
8,DNF,1.086,1.244273695,0.686059104,0.073620798,1.533426184,0.061754512,0.522876247,0.000507743
9,DNF,1.086,6.176724341,0.589184595,0.012800098,1.964864947,0.043931302,0.72253019,0.001376291
10,DNF,1.086,NA,NA,NA,NA,NA,0.014316972,0.004461917
11,DNF,1.086,NA,NA,NA,NA,NA,-0.017190049,0.004462653
12,DNF,1.086,NA,NA,NA,NA,NA,0.00953798,0.004511858
